id;code;name;description;location;zone_id;station_id
324;888;Papagaio Verde, Viaduto;Papagaio Verde, Viaduto;POINT(-16.9532458849627 32.6473806988795);0;
326;892;CAM Areeiro, Poços CMF;CAM Areeiro, Poços CMF;POINT(-16.9574521001362 32.6478292013076);0;
1743;367;CAM C Romeiros, Lev Serra;CAM C Romeiros, Lev Serra;POINT(-16.889192474749 32.6725457062435);0;
1685;57;Madeira Palácio, S;Madeira Palácio, S;POINT(-16.9463842506665 32.6387038740697);0;
567;779;ESTR Laranjal, Oficina, S;ESTR Laranjal, Oficina, S;POINT(-16.9450035241531 32.6776417141551);0;
1639;720;Travessa Tanque, Maxmat;Travessa Tanque, Maxmat;POINT(-16.9503751686131 32.658196351781);0;
1438;657;Atrás APS Penteada, S;Atrás APS Penteada, S;POINT(-16.9295101954723 32.6646637333761);0;
1420;438;R Silvestre Q Freitas,D2A;R Silvestre Q Freitas,D2A;POINT(-16.9019180770716 32.6555743220701);0;
1283;444;Antes Rua STA Luzia;Antes Rua STA Luzia;POINT(-16.9077360400726 32.6572077021251);0;
1379;447;Rua Pedro J Ornelas,Final;Rua Pedro J Ornelas,Final;POINT(-16.9027172787452 32.6596969239533);0;
1400;410;Furado;Furado;POINT(-16.9023288805015 32.6609191596299);0;
1418;314;CAM Voltas, Dep Escola, D;CAM Voltas, Dep Escola, D;POINT(-16.8940675972295 32.66420866399);0;
1398;326;CAM Curral Romeiros, D4A;CAM Curral Romeiros, D4A;POINT(-16.8894237875756 32.6688473223307);0;
1588;347A;Jardim Botânico, T-31;Jardim Botânico, T-31;POINT(-16.8939609527588 32.6619911193848);0;
1623;1045;Caminho Novo Cova;Caminho Novo Cova;POINT(-16.9268132592257 32.6734945066165);0;
1288;1065;CAM da Cova do Til, S3A;CAM da Cova do Til, S3A;POINT(-16.9570498725071 32.6603035959647);0;
1602;1075;Caminho STA Quitéria, S;Caminho STA Quitéria, S;POINT(-16.9529750370725 32.6622684719842);0;
1657;1078;R C Maritimo, QTA Falcão, D;R C Maritimo, QTA Falcão, D;POINT(-16.9372852978838 32.6674876905759);0;
2246;1311;CAM das Lajinhas, S2A;CAM das Lajinhas, S2A;POINT(-16.9045985331595 32.678885202384);0;
1835;1276;Rua Cabrestante, D2A;Rua Cabrestante, D2A;POINT(-16.9463649431158 32.6363856738629);0;
1901;485;R Silvestre Q Freitas,S2A;R Silvestre Q Freitas,S2A;POINT(-16.90217078277 32.6567241589371);0;
1933;511;Antes CZ CAM Monte, S;Antes CZ CAM Monte, S;POINT(-16.9054962250388 32.6590296530999);0;
2134;523;Inicio R Sidónio Pais, S;Inicio R Sidónio Pais, S;POINT(-16.9018380548391 32.6592224724814);0;
2114;422;Ponte CAM Ferro, D;Ponte CAM Ferro, D;POINT(-16.9070306411734 32.6651584139873);0;
2071;1010;CZ Azinhaga Ausentes, D;CZ Azinhaga Ausentes, D;POINT(-16.9249781342017 32.6564789687357);0;
2081;102;Depois da Rampa, D;Depois da Rampa, D;POINT(-16.9409545698438 32.6727820254025);0;
429;841;Rua STA Rita, S1A;Rua STA Rita, S1A;POINT(-16.9560532672119 32.6537312264805);0;
961;859;Areeiro, S;Areeiro, S;POINT(-16.9548134016522 32.6436842366103);0;
1745;556A;Antes Tanque, CAM Corujeira;Antes Tanque, CAM Corujeira;POINT(-16.9108547445066 32.6744777649498);0;
1455;454;Depois CZ L STA Luzia, D;Depois CZ L STA Luzia, D;POINT(-16.90838624214 32.6605013924075);0;
1469;431A;Palheiro Ferreiro, T-36A;Palheiro Ferreiro, T-36A;POINT(-16.8661442051305 32.6655793052282);0;
1280;409;Lombo Quinta, T-50;Lombo Quinta, T-50;POINT(-16.8748038927797 32.660095333236);0;
1506;164;Antes Rua Louros, D;Antes Rua Louros, D;POINT(-16.8930150455824 32.6494414651077);0;
1981;301;Rua Bela S Tiago, S1A;Rua Bela S Tiago, S1A;POINT(-16.9017057411746 32.6486646685494);0;
2042;214;Rua Pedra Sina, D3A;Rua Pedra Sina, D3A;POINT(-16.8878079413246 32.6504118952541);0;
1894;484;Rua Arc D Aires, D1A;Rua Arc D Aires, D1A;POINT(-16.9187221447915 32.6602155628514);0;
1666;574;Ponte Ferro, D;Ponte Ferro, D;POINT(-16.9009653505441 32.6707264737457);0;
143;592;CAM São Roque, Moinho;CAM São Roque, Moinho;POINT(-16.9226731878624 32.6663690617376);0;
139;602;CAM Terça, Poços CMF, D;CAM Terça, Poços CMF, D;POINT(-16.9204952603492 32.6754123448814);0;
934;617;CAM S Roque, Muro Coelha;CAM S Roque, Muro Coelha;POINT(-16.9225838760733 32.6603885993263);0;
397;620;Largo Alamos, Saída;Largo Alamos, Saída;POINT(-16.9315369818469 32.6650891422154);0;
396;621;CAM Lombo Aguiares, D2A;CAM Lombo Aguiares, D2A;POINT(-16.9423859366656 32.6922531863379);0;
974;589A;Rotunda, Fundoa Cima, D;Rotunda, Fundoa Cima, D;POINT(-16.9173409538938 32.6745324776739);0;
1907;570;Depois CZ CAM Monte C22,D;Depois CZ CAM Monte C22,D;POINT(-16.9042527474653 32.6692627731919);0;
1905;572;CZ CAM Desterro, Monte, D;CZ CAM Desterro, Monte, D;POINT(-16.9023654134175 32.6696329746248);0;
1904;573;CAM Corujeira, PQ Estacio;CAM Corujeira, PQ Estacio;POINT(-16.9070009458216 32.676579028736);0;
1911;573C;CAM Lombos, S;CAM Lombos, S;POINT(-16.9066449293722 32.6794802518894);0;
1912;573D;CAM Lombos, Antes Pintor;CAM Lombos, Antes Pintor;POINT(-16.9066025496488 32.6805469604975);0;
1896;581;Coruj Dentro, Reforço, S;Coruj Dentro, Reforço, S;POINT(-16.9120280638298 32.679113822578);0;
1889;583;Chão Marcos, Corj Fora, S;Chão Marcos, Corj Fora, S;POINT(-16.9109731568877 32.6767068436792);0;
1061;585A;Depois Tanque, CAM Corujeira;Depois Tanque, CAM Corujeira;POINT(-16.9105930438039 32.6747098782595);0;
250;126;Estação Shell, S Roque, D;Estação Shell, S Roque, D;POINT(-16.922762177612 32.6709446923092);0;
154;599;CAM Portada STO Antonio, S1A;CAM Portada STO Antonio, S1A;POINT(-16.9070241113113 32.6707576996529);0;
381;637;CAM da Terça, S;CAM da Terça, S;POINT(-16.9208472931045 32.673513342698);0;
465;948;CAM Curral Velho, D3A;CAM Curral Velho, D3A;POINT(-16.9431556351481 32.6791844273457);0;
1695;871C;Pizo, T-3;Pizo, T-3;POINT(-16.9648046975533 32.6546154581784);0;
1055;879;TV Campo Maritimo, S;TV Campo Maritimo, S;POINT(-16.9367348155869 32.6700843199515);0;
1729;797;CAM C Branca, Buganvilia;CAM C Branca, Buganvilia;POINT(-16.9302325761485 32.6391397191452);0;
2383;817A;Frente ao RG-3;Frente ao RG-3;POINT(-16.9341592217835 32.643438665342);0;
2375;823;Rua E U A, Tourigalo;Rua E U A, Tourigalo;POINT(-16.9370361021933 32.6489854072166);0;
394;622;Casa Saude Penteada, D;Casa Saude Penteada, D;POINT(-16.9306364428552 32.6642216419216);0;
400;624;Atrás APS Penteada, D;Atrás APS Penteada, D;POINT(-16.9292392730713 32.6646881103516);0;
414;845;Ponte do Baptista, S;Ponte do Baptista, S;POINT(-16.945650100708 32.6506309509277);0;
